업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시,입찰마감일시,공고링크,키워드
용역,20240131539-00,긴급,공무원 데이터 인재양성 교육사업 용역,조달청 부산지방조달청,부산광역시,일반(총액)협상에의한계약,2024/01/30 08:06,(2024/02/14 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240131539&bidseq=00&releaseYn=Y&taskClCd=1,데이터
용역,20240132653-00,긴급,2024년 해양수산부 데이터생태계 활성화 연구 용역,해양수산부,해양수산부,일반(총액)협상에의한계약,2024/01/29 22:05,(2024/02/13 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240132653&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240132647-00,긴급,해양수산부 공공데이터 품질관리 역량 강화,해양수산부,해양수산부,제한(총액)협상에의한계약,2024/01/29 22:00,(2024/02/13 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240132647&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240131217-00,긴급,「의료기기 실사용정보 활용을 위한 공통데이터모델(CDM) 구축 및 연구」,조달청 서울지방조달청,한국의료기기안전정보원,제한(총액)협상에의한계약,2024/01/29 13:38,(2024/02/14 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240131217&bidseq=00&releaseYn=Y&taskClCd=1,데이터
용역,20240122148-01,취소,「의료기기 실사용정보 활용을 위한 공통데이터모델(CDM) 구축 및 연구」,조달청 서울지방조달청,한국의료기기안전정보원,제한(총액)협상에의한계약,2024/01/29 13:10,(2024/02/14 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240122148&bidseq=01&releaseYn=Y&taskClCd=1,데이터
용역,20240130353-00,긴급,데이터 기반 스마트농업 확산지원 PMO 사업,조달청,한국농업기술진흥원,일반(총액)협상에의한계약,2024/01/29 13:10,(2024/02/20 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240130353&bidseq=00&releaseYn=Y&taskClCd=1,데이터
용역,202400372-00,일반,[국제입찰]데이터 기반 스마트 도로통합플랫폼 구축,한국도로공사,한국도로공사 본사,일반(총액),2024/01/29 00:00,(2024/03/11 13:00),https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20240134630&bidseq=00,데이터
용역,20240130428-00,일반,2024 경남FC CRM·데이터마케팅 용역,(주)경남도민프로축구단,(주)경남도민프로축구단,제한(총액)협상에의한계약,2024/01/28 14:45,(-),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240130428&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240130018-00,일반,2024년 산림공공데이터 개방 활성화 및 역량강화 사업,산림청,산림청,제한(총액)협상에의한계약,2024/01/26 16:33,(2024/02/06 11:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240130018&bidseq=00&releaseYn=Y&taskClCd=5,데이터
