업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시,입찰마감일시,공고링크,키워드
용역,20240123569-00,긴급,2024년 상표 빅데이터 분석사업,특허청,특허청,일반(총액)협상에의한계약,2024/01/23 09:56,(2024/02/05 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240123569&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240121319-00,일반,국가검진자료-대기노출량 연계 빅데이터를 활용한 질병 발생영향 분석 및 연구용 Data 공개,질병관리청 국립보건연구원,질병관리청 국립보건연구원,제한(총액)협상에의한계약,2024/01/22 17:45,(2024/03/04 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240121319&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240121398-00,일반,[학술] 미진단 희귀질환 진단기술 고도화를 위한 long-read 시퀀싱 데이터 생산,질병관리청 국립보건연구원,질병관리청 국립보건연구원,제한(총액)협상에의한계약,2024/01/22 17:33,(2024/03/04 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240121398&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240121427-00,일반,[학술] 보건의료연구자원정보센터 (CODA) 수집데이터 관리 및 공유·활용 체계 구축,질병관리청 국립보건연구원,질병관리청 국립보건연구원,제한(총액)협상에의한계약,2024/01/22 17:29,(2024/03/04 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240121427&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240121563-00,일반,[학술] 임신성 당뇨병 환자의 예후 추적 연구 기반 마이크로바이옴 변화 데이터 구축,질병관리청 국립보건연구원,질병관리청 국립보건연구원,제한(총액)협상에의한계약,2024/01/22 17:16,(2024/03/04 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240121563&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240121590-00,일반,질병관리청 조사자료 기반 대기오염에 의한 건강 영향 평가를 위한 대기오염 데이터 생산,질병관리청 국립보건연구원,질병관리청 국립보건연구원,제한(총액)협상에의한계약,2024/01/22 17:01,(2024/03/04 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240121590&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,B5202400111-00,일반,(긴급)공공데이터 개방 확대 및 컨설팅 용역,한국수자원공사,한국수자원공사 재무관리처,제한경쟁,2024/01/22 17:00,(2024/02/14 13:00),https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20240125009&bidseq=00,데이터
용역,20240121617-00,일반,[학술] 코호트 기반 건강노화 연구를 위한 한국인 장내 마이크로바이옴 데이터 구축,질병관리청 국립보건연구원,질병관리청 국립보건연구원,제한(총액)협상에의한계약,2024/01/22 16:57,(2024/03/04 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240121617&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240121630-00,일반,[학술] 클라우드 기반 보건의료빅데이터 공유·활용 플랫폼 운영 및 서비스 전략 확립,질병관리청 국립보건연구원,질병관리청 국립보건연구원,제한(총액)협상에의한계약,2024/01/22 16:56,(2024/03/04 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240121630&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240121649-00,일반,"[학술] 헬스케어 데이터 전처리, 정제 프로세스 운영 및 데이터베이스 구축",질병관리청 국립보건연구원,질병관리청 국립보건연구원,제한(총액)협상에의한계약,2024/01/22 16:53,(2024/03/04 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240121649&bidseq=00&releaseYn=Y&taskClCd=5,데이터
