No.,등록번호,참조번호,품명(사업명),수요기관,사전규격공개일시,업체등록의견수,공고링크,키워드
1,1392394,002480017900001,데이터 기반 스마트농업 확산지원 PMO 사업,한국농업기술진흥원,2024/01/23 08:09,0,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1392394&referNo=&srchCl=&srchNo=&instCl=2&taskClCd=5&prodNm=%B5%A5%C0%CC%C5%CD&swbizTgYn=&instNm=&dminstCd=&fromRcptDt=2024%2F01%2F19&toRcptDt=2024%2F01%2F23&listPageCount=&orderbyItem=1&instSearchRange=&myProdSearchYn=&searchDetailPrdnmNo=&searchDetailPrdnm=&pubYn=Y&taskClCds=5&recordCountPerPage=100,데이터
2,1392152,정책연구실-182,건설사고 위험도 예측을 위한 수준평가 데이터 조사·분석 연구,국토안전관리원,2024/01/22 15:23,0,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1392152&referNo=&srchCl=&srchNo=&instCl=2&taskClCd=5&prodNm=%B5%A5%C0%CC%C5%CD&swbizTgYn=&instNm=&dminstCd=&fromRcptDt=2024%2F01%2F19&toRcptDt=2024%2F01%2F23&listPageCount=&orderbyItem=1&instSearchRange=&myProdSearchYn=&searchDetailPrdnmNo=&searchDetailPrdnm=&pubYn=Y&taskClCds=5&recordCountPerPage=100,데이터
3,1391986,122480207700001,「의료기기 실사용정보 활용을 위한 공통데이터모델(CDM) 구축 및 연구」,한국의료기기안전정보원,2024/01/22 13:31,0,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1391986&referNo=&srchCl=&srchNo=&instCl=2&taskClCd=5&prodNm=%B5%A5%C0%CC%C5%CD&swbizTgYn=&instNm=&dminstCd=&fromRcptDt=2024%2F01%2F19&toRcptDt=2024%2F01%2F23&listPageCount=&orderbyItem=1&instSearchRange=&myProdSearchYn=&searchDetailPrdnmNo=&searchDetailPrdnm=&pubYn=Y&taskClCds=5&recordCountPerPage=100,데이터
4,1391823,002460008400001,2024년 자연유산 디지털 데이터 구축,문화재청,2024/01/22 09:38,0,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1391823&referNo=&srchCl=&srchNo=&instCl=2&taskClCd=5&prodNm=%B5%A5%C0%CC%C5%CD&swbizTgYn=&instNm=&dminstCd=&fromRcptDt=2024%2F01%2F19&toRcptDt=2024%2F01%2F23&listPageCount=&orderbyItem=1&instSearchRange=&myProdSearchYn=&searchDetailPrdnmNo=&searchDetailPrdnm=&pubYn=Y&taskClCds=5&recordCountPerPage=100,데이터
5,1391693,IBKS20240119-004,IBK하남데이터센터 보안장비(침입차단) 구축,중소기업은행,2024/01/19 18:39,0,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1391693&referNo=&srchCl=&srchNo=&instCl=2&taskClCd=5&prodNm=%B5%A5%C0%CC%C5%CD&swbizTgYn=&instNm=&dminstCd=&fromRcptDt=2024%2F01%2F19&toRcptDt=2024%2F01%2F23&listPageCount=&orderbyItem=1&instSearchRange=&myProdSearchYn=&searchDetailPrdnmNo=&searchDetailPrdnm=&pubYn=Y&taskClCds=5&recordCountPerPage=100,데이터
6,1391690,IBKS20240119-003,IBK하남데이터센터 보안장비(침입방지) 구축,중소기업은행,2024/01/19 18:38,0,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1391690&referNo=&srchCl=&srchNo=&instCl=2&taskClCd=5&prodNm=%B5%A5%C0%CC%C5%CD&swbizTgYn=&instNm=&dminstCd=&fromRcptDt=2024%2F01%2F19&toRcptDt=2024%2F01%2F23&listPageCount=&orderbyItem=1&instSearchRange=&myProdSearchYn=&searchDetailPrdnmNo=&searchDetailPrdnm=&pubYn=Y&taskClCds=5&recordCountPerPage=100,데이터
7,1391688,IBKS20240119-002,IBK하남데이터센터 보안장비(유해트래픽분석용 TAP장비) 구축,중소기업은행,2024/01/19 18:37,0,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1391688&referNo=&srchCl=&srchNo=&instCl=2&taskClCd=5&prodNm=%B5%A5%C0%CC%C5%CD&swbizTgYn=&instNm=&dminstCd=&fromRcptDt=2024%2F01%2F19&toRcptDt=2024%2F01%2F23&listPageCount=&orderbyItem=1&instSearchRange=&myProdSearchYn=&searchDetailPrdnmNo=&searchDetailPrdnm=&pubYn=Y&taskClCds=5&recordCountPerPage=100,데이터
8,1391577,상표심사정책과,2024년 상표 빅데이터 분석사업,특허청,2024/01/19 16:51,0,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1391577&referNo=&srchCl=&srchNo=&instCl=2&taskClCd=5&prodNm=%B5%A5%C0%CC%C5%CD&swbizTgYn=&instNm=&dminstCd=&fromRcptDt=2024%2F01%2F19&toRcptDt=2024%2F01%2F23&listPageCount=&orderbyItem=1&instSearchRange=&myProdSearchYn=&searchDetailPrdnmNo=&searchDetailPrdnm=&pubYn=Y&taskClCds=5&recordCountPerPage=100,데이터
9,1391502,212430530600001,공무원 데이터 인재양성 교육사업 용역,부산광역시,2024/01/19 16:01,0,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1391502&referNo=&srchCl=&srchNo=&instCl=2&taskClCd=5&prodNm=%B5%A5%C0%CC%C5%CD&swbizTgYn=&instNm=&dminstCd=&fromRcptDt=2024%2F01%2F19&toRcptDt=2024%2F01%2F23&listPageCount=&orderbyItem=1&instSearchRange=&myProdSearchYn=&searchDetailPrdnmNo=&searchDetailPrdnm=&pubYn=Y&taskClCds=5&recordCountPerPage=100,데이터
10,1391111,행정지원과-9,농업 재배 전주기 데이터 수집 사업 용역,전북특별자치도,2024/01/19 10:05,0,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1391111&referNo=&srchCl=&srchNo=&instCl=2&taskClCd=5&prodNm=%B5%A5%C0%CC%C5%CD&swbizTgYn=&instNm=&dminstCd=&fromRcptDt=2024%2F01%2F19&toRcptDt=2024%2F01%2F23&listPageCount=&orderbyItem=1&instSearchRange=&myProdSearchYn=&searchDetailPrdnmNo=&searchDetailPrdnm=&pubYn=Y&taskClCds=5&recordCountPerPage=100,데이터
