No.,등록번호,참조번호,품명(사업명),수요기관,사전규격공개일시,업체등록의견수,공고링크,키워드
1,1395922,연구처 2023-07,청소 로봇 데이터 Semantic segmentation,순천향대학교 산학협력단,2024/01/30 09:24,0,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1395922&referNo=&srchCl=&srchNo=&instCl=2&taskClCd=5&prodNm=%B5%A5%C0%CC%C5%CD&swbizTgYn=&instNm=&dminstCd=&fromRcptDt=2024%2F01%2F26&toRcptDt=2024%2F01%2F30&listPageCount=&orderbyItem=1&instSearchRange=&myProdSearchYn=&searchDetailPrdnmNo=&searchDetailPrdnm=&pubYn=Y&taskClCds=5&recordCountPerPage=100,데이터
2,1395872,222431523900001,생물정보 빅데이터 활용 전문인력 양성(2024년),환경부 국립생물자원관,2024/01/29 22:26,0,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1395872&referNo=&srchCl=&srchNo=&instCl=2&taskClCd=5&prodNm=%B5%A5%C0%CC%C5%CD&swbizTgYn=&instNm=&dminstCd=&fromRcptDt=2024%2F01%2F26&toRcptDt=2024%2F01%2F30&listPageCount=&orderbyItem=1&instSearchRange=&myProdSearchYn=&searchDetailPrdnmNo=&searchDetailPrdnm=&pubYn=Y&taskClCds=5&recordCountPerPage=100,데이터
3,1395871,222431523600001,빅데이터 활용을 통한 대기배출원 관리 기법 개발(IV),환경부 국립환경과학원,2024/01/29 22:26,0,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1395871&referNo=&srchCl=&srchNo=&instCl=2&taskClCd=5&prodNm=%B5%A5%C0%CC%C5%CD&swbizTgYn=&instNm=&dminstCd=&fromRcptDt=2024%2F01%2F26&toRcptDt=2024%2F01%2F30&listPageCount=&orderbyItem=1&instSearchRange=&myProdSearchYn=&searchDetailPrdnmNo=&searchDetailPrdnm=&pubYn=Y&taskClCds=5&recordCountPerPage=100,데이터
4,1395715,315,암 치유 생존 및 환자 의료데이터 수집 및 적재 연계 솔루션 개발,강원대학교병원,2024/01/29 16:50,0,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1395715&referNo=&srchCl=&srchNo=&instCl=2&taskClCd=5&prodNm=%B5%A5%C0%CC%C5%CD&swbizTgYn=&instNm=&dminstCd=&fromRcptDt=2024%2F01%2F26&toRcptDt=2024%2F01%2F30&listPageCount=&orderbyItem=1&instSearchRange=&myProdSearchYn=&searchDetailPrdnmNo=&searchDetailPrdnm=&pubYn=Y&taskClCds=5&recordCountPerPage=100,데이터
5,1395524,NIGT 2024-002,(NIGT) 탄소중립·기후기술 데이터 아카이브 구축,한국과학기술연구원부설국가녹색기술연구소,2024/01/29 14:17,0,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1395524&referNo=&srchCl=&srchNo=&instCl=2&taskClCd=5&prodNm=%B5%A5%C0%CC%C5%CD&swbizTgYn=&instNm=&dminstCd=&fromRcptDt=2024%2F01%2F26&toRcptDt=2024%2F01%2F30&listPageCount=&orderbyItem=1&instSearchRange=&myProdSearchYn=&searchDetailPrdnmNo=&searchDetailPrdnm=&pubYn=Y&taskClCds=5&recordCountPerPage=100,데이터
6,1395224,제2023-78호,빅데이터 기반 학습관리시스템(injeLMS) 고도화,인제대학교 대학,2024/01/27 21:46,0,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1395224&referNo=&srchCl=&srchNo=&instCl=2&taskClCd=5&prodNm=%B5%A5%C0%CC%C5%CD&swbizTgYn=&instNm=&dminstCd=&fromRcptDt=2024%2F01%2F26&toRcptDt=2024%2F01%2F30&listPageCount=&orderbyItem=1&instSearchRange=&myProdSearchYn=&searchDetailPrdnmNo=&searchDetailPrdnm=&pubYn=Y&taskClCds=5&recordCountPerPage=100,데이터
7,1395192,KILEF-2024-2,정보시스템 서버 교체설치 및 데이터이관 사업,청주대학교 지방교육재정연구원,2024/01/26 18:48,0,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1395192&referNo=&srchCl=&srchNo=&instCl=2&taskClCd=5&prodNm=%B5%A5%C0%CC%C5%CD&swbizTgYn=&instNm=&dminstCd=&fromRcptDt=2024%2F01%2F26&toRcptDt=2024%2F01%2F30&listPageCount=&orderbyItem=1&instSearchRange=&myProdSearchYn=&searchDetailPrdnmNo=&searchDetailPrdnm=&pubYn=Y&taskClCds=5&recordCountPerPage=100,데이터
8,1393826,산림빅데이터팀-269,드론영상 빅데이터 시스템 운영 및 유지관리,산림청,2024/01/26 13:16,0,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1393826&referNo=&srchCl=&srchNo=&instCl=2&taskClCd=5&prodNm=%B5%A5%C0%CC%C5%CD&swbizTgYn=&instNm=&dminstCd=&fromRcptDt=2024%2F01%2F26&toRcptDt=2024%2F01%2F30&listPageCount=&orderbyItem=1&instSearchRange=&myProdSearchYn=&searchDetailPrdnmNo=&searchDetailPrdnm=&pubYn=Y&taskClCds=5&recordCountPerPage=100,데이터
1,1395489,232430988100001,범정부 AI기반 통합콜센터 서비스 구축 2차 위탁감리,한국지능정보사회진흥원,2024/01/29 13:49,0,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1395489&referNo=&srchCl=&srchNo=&instCl=2&taskClCd=5&prodNm=AI&swbizTgYn=&instNm=&dminstCd=&fromRcptDt=2024%2F01%2F26&toRcptDt=2024%2F01%2F30&listPageCount=&orderbyItem=1&instSearchRange=&myProdSearchYn=&searchDetailPrdnmNo=&searchDetailPrdnm=&pubYn=Y&taskClCds=5&recordCountPerPage=100,AI
2,1394787,사하구 상권활성화 추진단 입찰공고 제2024-03호,AI 로봇 체험 공간 조성용역,사하구 상권활성화 추진단,2024/01/26 11:40,0,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1394787&referNo=&srchCl=&srchNo=&instCl=2&taskClCd=5&prodNm=AI&swbizTgYn=&instNm=&dminstCd=&fromRcptDt=2024%2F01%2F26&toRcptDt=2024%2F01%2F30&listPageCount=&orderbyItem=1&instSearchRange=&myProdSearchYn=&searchDetailPrdnmNo=&searchDetailPrdnm=&pubYn=Y&taskClCds=5&recordCountPerPage=100,AI
3,1394741,249104A0000,경남 등 지역 AI수위관측소 26개소 신설 실시설계용역,환경부 낙동강홍수통제소,2024/01/26 11:03,0,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1394741&referNo=&srchCl=&srchNo=&instCl=2&taskClCd=5&prodNm=AI&swbizTgYn=&instNm=&dminstCd=&fromRcptDt=2024%2F01%2F26&toRcptDt=2024%2F01%2F30&listPageCount=&orderbyItem=1&instSearchRange=&myProdSearchYn=&searchDetailPrdnmNo=&searchDetailPrdnm=&pubYn=Y&taskClCds=5&recordCountPerPage=100,AI
4,1394737,법제연구팀,AI 저작권 법제도 개선방안 연구,한국저작권위원회,2024/01/26 11:00,0,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1394737&referNo=&srchCl=&srchNo=&instCl=2&taskClCd=5&prodNm=AI&swbizTgYn=&instNm=&dminstCd=&fromRcptDt=2024%2F01%2F26&toRcptDt=2024%2F01%2F30&listPageCount=&orderbyItem=1&instSearchRange=&myProdSearchYn=&searchDetailPrdnmNo=&searchDetailPrdnm=&pubYn=Y&taskClCds=5&recordCountPerPage=100,AI
5,1394715,24910490000,경북지역 AI수위관측소 38개소 신설 실시설계용역,환경부 낙동강홍수통제소,2024/01/26 10:40,0,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1394715&referNo=&srchCl=&srchNo=&instCl=2&taskClCd=5&prodNm=AI&swbizTgYn=&instNm=&dminstCd=&fromRcptDt=2024%2F01%2F26&toRcptDt=2024%2F01%2F30&listPageCount=&orderbyItem=1&instSearchRange=&myProdSearchYn=&searchDetailPrdnmNo=&searchDetailPrdnm=&pubYn=Y&taskClCds=5&recordCountPerPage=100,AI
1,1395269,122480274100001,[지원] 인공지능기반동영상분석을 통한 발달장애아동의 시공간인지능 및 소근육발달 진단보조핵심기술 개발,보건복지부 국립재활원,2024/01/29 08:48,0,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1395269&referNo=&srchCl=&srchNo=&instCl=2&taskClCd=5&prodNm=%C0%CE%B0%F8%C1%F6%B4%C9&swbizTgYn=&instNm=&dminstCd=&fromRcptDt=2024%2F01%2F26&toRcptDt=2024%2F01%2F30&listPageCount=&orderbyItem=1&instSearchRange=&myProdSearchYn=&searchDetailPrdnmNo=&searchDetailPrdnm=&pubYn=Y&taskClCds=5&recordCountPerPage=100,인공지능
2,1395225,002480024900001,위성자료를 이용한 인공지능 모의자료 생성 및 예측기술 개발,기상청 국가기상위성센터,2024/01/28 08:26,0,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1395225&referNo=&srchCl=&srchNo=&instCl=2&taskClCd=5&prodNm=%C0%CE%B0%F8%C1%F6%B4%C9&swbizTgYn=&instNm=&dminstCd=&fromRcptDt=2024%2F01%2F26&toRcptDt=2024%2F01%2F30&listPageCount=&orderbyItem=1&instSearchRange=&myProdSearchYn=&searchDetailPrdnmNo=&searchDetailPrdnm=&pubYn=Y&taskClCds=5&recordCountPerPage=100,인공지능
3,1395037,제주한라산단137,전문대학 혁신지원사업 관련 인공지능공학과 물품 성능개선 용역,제주한라대학교산학협력단,2024/01/26 16:10,0,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1395037&referNo=&srchCl=&srchNo=&instCl=2&taskClCd=5&prodNm=%C0%CE%B0%F8%C1%F6%B4%C9&swbizTgYn=&instNm=&dminstCd=&fromRcptDt=2024%2F01%2F26&toRcptDt=2024%2F01%2F30&listPageCount=&orderbyItem=1&instSearchRange=&myProdSearchYn=&searchDetailPrdnmNo=&searchDetailPrdnm=&pubYn=Y&taskClCds=5&recordCountPerPage=100,인공지능
