업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시,입찰마감일시,공고링크,키워드
용역,20240127898-00,긴급,온톨로지(데이터센터) 운영 사업,조달청,한국고용정보원,일반(총액)협상에의한계약,2024/01/25 15:40,(2024/02/06 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240127898&bidseq=00&releaseYn=Y&taskClCd=1,데이터
용역,20240128082-00,일반,원자력안전R&D 연구개발정보 IRIS 데이터 이관,한국원자력안전재단,한국원자력안전재단,제한(총액)협상에의한계약,2024/01/25 15:06,(2024/02/05 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240128082&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240127779-00,일반,메디체크 빅데이터 플랫폼 구축을 위한 정보화전략계획 수립,한국건강관리협회,한국건강관리협회,일반(총액),2024/01/25 13:26,(-),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240127779&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240127140-00,일반,빅데이터 혁신융합대학 신입생 교육 프로그램,서울특별시 서울시립대학교 산학협력단,서울특별시 서울시립대학교 산학협력단,수의(총액)소액수의,2024/01/25 08:37,(2024/01/25 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240127140&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240126850-00,긴급,"2024년 사법부 데이터센터 유지관리운영(사법, 등기) 사업",조달청 서울지방조달청,대법원,수의(총액),2024/01/24 17:58,(2024/01/29 15:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240126850&bidseq=00&releaseYn=Y&taskClCd=1,데이터
용역,20240126214-00,긴급,[일반/조달/바이오빅데이터과] 2024년도 Osong PHRP 국제학술지 발간 사업,조달청 충북지방조달청,질병관리청 국립보건연구원,수의(총액),2024/01/24 15:53,(2024/01/26 12:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240126214&bidseq=00&releaseYn=Y&taskClCd=1,데이터
용역,20240126348-00,일반,[디지털헬스케어사업] 헬스케어융합전공 교육 데이터 구축 용역,연세대학교 미래캠퍼스,연세대학교 미래캠퍼스,제한(총액)협상에의한계약,2024/01/24 15:49,(2024/02/05 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240126348&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240126189-00,긴급,농업 재배 전주기 데이터 수집 사업 용역,전북특별자치도,전북특별자치도,제한(총액)협상에의한계약,2024/01/24 14:37,(2024/02/06 18:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240126189&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240125558-00,일반,두산베어스 데이터 통합 포탈 시스템 고도화 사업,(주)두산베어스,(주)두산베어스,일반(총액)협상에의한계약,2024/01/24 10:37,(-),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240125558&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240125400-00,긴급,민간데이터 정제·적재 및 활용 사업,조달청 경남지방조달청,경상남도,제한(총액)협상에의한계약,2024/01/24 10:37,(2024/02/08 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240125400&bidseq=00&releaseYn=Y&taskClCd=1,데이터
용역,20240125291-00,긴급,2024년도 해외 주요 관세당국 데이터베이스 구매,관세청,관세청,일반(총액)종합낙찰제,2024/01/24 09:22,(2024/02/02 11:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240125291&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240124969-00,긴급,2024년 상표 빅데이터 분석사업,특허청,특허청,일반(총액)협상에의한계약,2024/01/23 17:54,(2024/02/05 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240124969&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240123569-01,취소,2024년 상표 빅데이터 분석사업,특허청,특허청,일반(총액)협상에의한계약,2024/01/23 17:50,(2024/02/05 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240123569&bidseq=01&releaseYn=Y&taskClCd=5,데이터
용역,20240124155-00,긴급,2024년 데이터기반 항공안전감독시스템 감독기법 응용개발,조달청 대전지방조달청,국토교통부,제한(총액)협상에의한계약,2024/01/23 17:06,(2024/02/06 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240124155&bidseq=00&releaseYn=Y&taskClCd=1,데이터
용역,20240124688-00,긴급,2024년 경기도 시·군 민간데이터 공동 구매 및 활용 사업,경기도,경기도,제한(총액)협상에의한계약,2024/01/23 16:44,(2024/02/05 17:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240124688&bidseq=00&releaseYn=Y&taskClCd=5,데이터
