업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시,입찰마감일시,공고링크,키워드
용역,20240300177-00,일반,공공조달데이터 기반 조달제도 효과성 분석 연구 용역,조달청 대전지방조달청,조달청,제한(총액)협상에의한계약,2024/03/05 09:37,(2024/03/19 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240300177&bidseq=00&releaseYn=Y&taskClCd=1,데이터
용역,20240302792-00,일반,2024 혁신성장 데이터 챌린지 사업 운영,재단법인부산테크노파크,재단법인부산테크노파크,일반(총액)협상에의한계약,2024/03/05 09:13,(2024/03/26 14:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240302792&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240302657-00,긴급,노지스마트농업시범사업 데이터플랫폼구축 정보화전략계획수립용역(협상에 의한 계약)(긴급),경상북도 의성군,경상북도 의성군,제한(총액)협상에의한계약,2024/03/04 22:07,(-),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240302657&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240302225-00,일반,50종 언론사 뉴스 데이터 제공 용역,행정안전부 국립재난안전연구원,행정안전부 국립재난안전연구원,제한(총액),2024/03/04 17:54,(2024/03/11 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240302225&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240302196-00,일반,2024년 교통카드 빅데이터 통합정보시스템 위탁운영,국토교통부,국토교통부,수의(총액),2024/03/04 17:41,(2024/03/05 12:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240302196&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240302102-00,일반,2024 서울히어로즈 기록 데이터 솔루션 제공 업체 선정,주식회사 서울히어로즈,주식회사 서울히어로즈,일반(단가)협상에의한계약,2024/03/04 17:20,(-),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240302102&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240300934-00,긴급,2024 날씨 빅데이터 콘테스트 운영,기상청,기상청,제한(총액)협상에의한계약,2024/03/04 14:43,(2024/03/15 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240300934&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240301263-00,긴급,2024년 수출입 물류 공공·민간 데이터 공유 플랫폼 운영·유지보수 용역,한국해양진흥공사,한국해양진흥공사,제한(총액)협상에의한계약,2024/03/04 14:09,(2024/03/12 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240301263&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240301220-00,긴급,"[연구,075] 2024년 증후군(불명열, 신경, 소화기 등) 기반 원인불명감염병 데이터 수집 및 분석",질병관리청,질병관리청,일반(총액)협상에의한계약,2024/03/04 13:58,(2024/03/15 14:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240301220&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240300680-00,일반,공공마이데이터 플랫폼 모이소 단계 구축 사업 감리 용역,경상북도,경상북도,수의(총액)소액-견적입찰(2인 이상 견적 제출),2024/03/04 10:18,(2024/03/12 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240300680&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240241468-00,긴급,(위탁)모바일 데이터 활용 생활권 녹지 이용 패턴 분석 및 유형구분,산림청 국립산림과학원,산림청 국립산림과학원,제한(총액)협상에의한계약,2024/03/04 09:05,(2024/03/15 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240241468&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240301499-00,일반,2024학년도 영훈초등학교 AI미래교실 운영 위탁용역,서울특별시교육청 서울특별시성북교육지원청 영훈초등학교,서울특별시교육청 서울특별시성북교육지원청 영훈초등학교,제한(총액)규격가격동시,2024/03/04 15:22,(2024/03/18 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240301499&bidseq=00&releaseYn=Y&taskClCd=5,AI
용역,20240301082-00,긴급,AI 기반 맞춤형 블루푸드 플랫폼 구축 기획연구,해양수산과학기술진흥원,해양수산과학기술진흥원,제한(총액)협상에의한계약,2024/03/04 13:32,(2024/03/15 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240301082&bidseq=00&releaseYn=Y&taskClCd=5,AI
용역,20240300807-00,일반,AI와 공간정보 융합 검색서비스 구축사업 감리용역,울산광역시,울산광역시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2024/03/04 10:47,(2024/03/08 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240300807&bidseq=00&releaseYn=Y&taskClCd=5,AI
