업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시,입찰마감일시,공고링크,키워드
용역,20240310089-00,일반,「2024년 AI활용 독거노인 돌봄서비스 로봇 임차 용역(긴급)」 소액수의 전자견적 제출안내,강원특별자치도 속초시,강원특별자치도 속초시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2024/03/07 21:08,(2024/03/13 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240310089&bidseq=00&releaseYn=Y&taskClCd=5,AI
용역,20240304611-01,변경,2024년도 서울시 서울 AI 허브 개관식 행사대행 용역,서울대학교 연구소 AI연구원,서울대학교 연구소 AI연구원,일반(총액)협상에의한계약,2024/03/07 11:40,(2024/03/21 11:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240304611&bidseq=01&releaseYn=Y&taskClCd=5,AI
용역,20240308319-00,긴급,2024년 드론 영상 AI분석 시스템 유지관리 용역_수의시담,제주특별자치도,제주특별자치도,제한(총액)협상에의한계약,2024/03/07 10:58,(2024/03/08 12:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240308319&bidseq=00&releaseYn=Y&taskClCd=5,AI
용역,20240308278-00,일반,민간검사기관 가금농장 조류인플루엔자(AI) 정밀검사 용역,경기도,경기도 경기도동물위생시험소,일반(총액),2024/03/07 10:52,(2024/03/15 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240308278&bidseq=00&releaseYn=Y&taskClCd=5,AI
용역,20240307705-00,일반,2024년 고창 늘봄집중지원학교 AI 코스웨어 용역,전북특별자치도교육청 전북특별자치도고창교육지원청,전북특별자치도교육청 전북특별자치도고창교육지원청,일반(총액)규격가격동시,2024/03/06 20:44,(2024/03/18 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240307705&bidseq=00&releaseYn=Y&taskClCd=5,AI
용역,20240307065-00,일반,W브릿지 AI기반 인재-채용정보 추천 서비스 개발·구축,한국여성과학기술인육성재단,한국여성과학기술인육성재단,제한(총액)협상에의한계약,2024/03/06 16:35,(2024/03/20 16:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240307065&bidseq=00&releaseYn=Y&taskClCd=5,AI
용역,20240306801-00,일반,대학원생 학술연구 종합 커뮤니케이션 교육과정 개발 및 운영 (생성형 AI 논문작성활용),인하대학교,인하대학교,일반(총액)협상에의한계약,2024/03/06 15:30,(-),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240306801&bidseq=00&releaseYn=Y&taskClCd=5,AI
용역,20240304748-00,일반,인천과학고 SW· AI분야 교과용 인정도서(수치해석의 기초)개발 용역 2단계 입찰,인천광역시교육청 인천과학고등학교,인천광역시교육청 인천과학고등학교,일반(총액)규격가격동시,2024/03/06 15:30,(2024/03/18 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240304748&bidseq=00&releaseYn=Y&taskClCd=5,AI
용역,20240305748-00,일반,AI 홍수특보지점 확대에 따른 하천환경변화를 고려한 홍수상황 예측·분석 연구,조달청 서울지방조달청,환경부 한강홍수통제소,제한(총액)협상에의한계약,2024/03/06 13:28,(2024/03/20 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240305748&bidseq=00&releaseYn=Y&taskClCd=1,AI
용역,20240305050-00,일반,2024년 익산 늘봄학교 AI코스웨어 위탁 운영 용역,전북특별자치도교육청 전북특별자치도익산교육지원청,전북특별자치도교육청 전북특별자치도익산교육지원청,일반(총액)규격가격동시,2024/03/05 19:18,(2024/03/18 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240305050&bidseq=00&releaseYn=Y&taskClCd=5,AI
