업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시,입찰마감일시,공고링크,키워드
용역,B5202400719-00,일반,공간정보 빅데이터를 활용한 가뭄 예·경보 분석기술 개발 용역(2024년),한국수자원공사,한국수자원공사 재무관리처,일반경쟁,2024/03/15 10:00,(2024/04/05 10:00),https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20240327137&bidseq=00,데이터
용역,20240323286-00,긴급,(용역)숲길 기초데이터 수립 및 DB 구축,산림청 국립산림과학원,산림청 국립산림과학원,제한(총액)협상에의한계약,2024/03/14 18:29,(2024/03/25 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240323286&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240317353-00,긴급,AI 메타데이터 구축 및 미디어 공공 AI 플랫폼 구축을 위한 ISP,조달청 서울지방조달청,한국언론진흥재단,제한(총액)협상에의한계약,2024/03/14 17:46,(2024/03/29 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240317353&bidseq=00&releaseYn=Y&taskClCd=1,데이터
용역,20240323087-00,긴급,(용역)지상라이다 기반 수종뷴류 학습데이터 구축,산림청 국립산림과학원,산림청 국립산림과학원,제한(총액)협상에의한계약,2024/03/14 17:34,(2024/03/25 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240323087&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240322763-00,일반,2024년도 공공데이터 품질관리 및 데이터기반행정 운영체계 수립 컨설팅 용역,부산항만공사,부산항만공사,제한(총액)협상에의한계약,2024/03/14 16:50,(2024/04/12 15:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240322763&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240319630-00,긴급,2024년 주거실태조사(실사 및 마이크로데이터 생산 분야),조달청,국토교통부,일반(총액)협상에의한계약,2024/03/14 14:04,(2024/04/05 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240319630&bidseq=00&releaseYn=Y&taskClCd=1,데이터
용역,20240318385-00,일반,2024년 통계데이터센터 활성화 사업,통계청,통계청,제한(총액)협상에의한계약,2024/03/14 13:29,(2024/03/26 14:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240318385&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240321719-00,일반,전차선로 데이터 측정 정확도 및 측정 운영 시스템 고도화 용역,한국철도기술연구원,한국철도기술연구원,일반(총액)규격가격동시,2024/03/14 12:36,(2024/03/21 14:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240321719&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240320841-00,긴급,라오스 국가 수자원 데이터 관리 시스템 개선 및 대상지역 홍수 예측·경보시스템 구축,조달청,과학기술정책연구원,제한(총액)협상에의한계약,2024/03/14 09:51,(2024/04/09 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240320841&bidseq=00&releaseYn=Y&taskClCd=1,데이터
용역,20240319329-00,긴급,(위탁)수자원 함양 및 탄소흡수량 가치평가를 위한 사유림 공간데이터 구축,산림청 국립산림과학원,산림청 국립산림과학원,제한(총액)협상에의한계약,2024/03/14 09:13,(2024/03/25 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240319329&bidseq=00&releaseYn=Y&taskClCd=5,데이터
