No.,등록번호,참조번호,품명(사업명),수요기관,사전규격공개일시,업체등록의견수,공고링크,키워드
1,1403991,토목-694,하수관로 신설(확충)사업[영도처리구역(대교사거리 일원)] 도시정보시스템(UIS) 데이터베이스 구축용역,부산광역시 건설본부,2024/02/15 17:44,0,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1403991&referNo=&srchCl=&srchNo=&instCl=2&taskClCd=5&prodNm=%B5%A5%C0%CC%C5%CD&swbizTgYn=&instNm=&dminstCd=&fromRcptDt=2024%2F02%2F13&toRcptDt=2024%2F02%2F16&listPageCount=&orderbyItem=1&instSearchRange=&myProdSearchYn=&searchDetailPrdnmNo=&searchDetailPrdnm=&pubYn=Y&taskClCds=5&recordCountPerPage=100,데이터
2,1403985,토목-694,"하수관로 신설(확충)사업[영도처리구역(동삼, 청학동 일원)] 도시정보시스템(UIS) 데이터베이스 구축용역",부산광역시 건설본부,2024/02/15 17:39,0,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1403985&referNo=&srchCl=&srchNo=&instCl=2&taskClCd=5&prodNm=%B5%A5%C0%CC%C5%CD&swbizTgYn=&instNm=&dminstCd=&fromRcptDt=2024%2F02%2F13&toRcptDt=2024%2F02%2F16&listPageCount=&orderbyItem=1&instSearchRange=&myProdSearchYn=&searchDetailPrdnmNo=&searchDetailPrdnm=&pubYn=Y&taskClCds=5&recordCountPerPage=100,데이터
3,1403984,RAM분석팀-319,한국형 고장률 데이터북 구축(3차년),국방기술품질원,2024/02/15 17:38,0,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1403984&referNo=&srchCl=&srchNo=&instCl=2&taskClCd=5&prodNm=%B5%A5%C0%CC%C5%CD&swbizTgYn=&instNm=&dminstCd=&fromRcptDt=2024%2F02%2F13&toRcptDt=2024%2F02%2F16&listPageCount=&orderbyItem=1&instSearchRange=&myProdSearchYn=&searchDetailPrdnmNo=&searchDetailPrdnm=&pubYn=Y&taskClCds=5&recordCountPerPage=100,데이터
4,1403783,KO240214GT,2022년 춘천시 스마트시티 챌린지탄소배출권 플랫폼 및 데이터허브 구축사업,주식회사 한국엘이디,2024/02/15 15:24,0,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1403783&referNo=&srchCl=&srchNo=&instCl=2&taskClCd=5&prodNm=%B5%A5%C0%CC%C5%CD&swbizTgYn=&instNm=&dminstCd=&fromRcptDt=2024%2F02%2F13&toRcptDt=2024%2F02%2F16&listPageCount=&orderbyItem=1&instSearchRange=&myProdSearchYn=&searchDetailPrdnmNo=&searchDetailPrdnm=&pubYn=Y&taskClCds=5&recordCountPerPage=100,데이터
5,1403584,기상융합서비스과-372,2024년 기상기후 빅데이터 융합서비스 활성화 포럼 운영,기상청,2024/02/15 13:23,0,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1403584&referNo=&srchCl=&srchNo=&instCl=2&taskClCd=5&prodNm=%B5%A5%C0%CC%C5%CD&swbizTgYn=&instNm=&dminstCd=&fromRcptDt=2024%2F02%2F13&toRcptDt=2024%2F02%2F16&listPageCount=&orderbyItem=1&instSearchRange=&myProdSearchYn=&searchDetailPrdnmNo=&searchDetailPrdnm=&pubYn=Y&taskClCds=5&recordCountPerPage=100,데이터
6,1403470,빅데이터-세무-1,디지털 업무혁신을 위한 빅데이터 기반 전자적 세무회계자료 중개사 선정(긴급),신용보증기금,2024/02/15 10:36,0,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1403470&referNo=&srchCl=&srchNo=&instCl=2&taskClCd=5&prodNm=%B5%A5%C0%CC%C5%CD&swbizTgYn=&instNm=&dminstCd=&fromRcptDt=2024%2F02%2F13&toRcptDt=2024%2F02%2F16&listPageCount=&orderbyItem=1&instSearchRange=&myProdSearchYn=&searchDetailPrdnmNo=&searchDetailPrdnm=&pubYn=Y&taskClCds=5&recordCountPerPage=100,데이터
7,1403406,대부(영전)재2024-시행2호,2024년 서버 및 데이터베이스 유지관리 용역,신대구부산고속도로(주),2024/02/15 09:25,0,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1403406&referNo=&srchCl=&srchNo=&instCl=2&taskClCd=5&prodNm=%B5%A5%C0%CC%C5%CD&swbizTgYn=&instNm=&dminstCd=&fromRcptDt=2024%2F02%2F13&toRcptDt=2024%2F02%2F16&listPageCount=&orderbyItem=1&instSearchRange=&myProdSearchYn=&searchDetailPrdnmNo=&searchDetailPrdnm=&pubYn=Y&taskClCds=5&recordCountPerPage=100,데이터
8,1403391,연구조사부,인공지능(AI) 기반 현수막 탐지 기술 개발 학습데이터 구축 및 지자체 실증연구,한국지방재정공제회,2024/02/15 09:16,0,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1403391&referNo=&srchCl=&srchNo=&instCl=2&taskClCd=5&prodNm=%B5%A5%C0%CC%C5%CD&swbizTgYn=&instNm=&dminstCd=&fromRcptDt=2024%2F02%2F13&toRcptDt=2024%2F02%2F16&listPageCount=&orderbyItem=1&instSearchRange=&myProdSearchYn=&searchDetailPrdnmNo=&searchDetailPrdnm=&pubYn=Y&taskClCds=5&recordCountPerPage=100,데이터
9,1403082,보건복지부,2024년 사회보장 행정데이터 구축 및 기초분석,보건복지부,2024/02/14 16:36,0,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1403082&referNo=&srchCl=&srchNo=&instCl=2&taskClCd=5&prodNm=%B5%A5%C0%CC%C5%CD&swbizTgYn=&instNm=&dminstCd=&fromRcptDt=2024%2F02%2F13&toRcptDt=2024%2F02%2F16&listPageCount=&orderbyItem=1&instSearchRange=&myProdSearchYn=&searchDetailPrdnmNo=&searchDetailPrdnm=&pubYn=Y&taskClCds=5&recordCountPerPage=100,데이터
10,1403068,1982,한림대학교 오라클 데이터베이스 및 웹로직 유지보수 용역 업체 선정,한림대학교,2024/02/14 16:23,0,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1403068&referNo=&srchCl=&srchNo=&instCl=2&taskClCd=5&prodNm=%B5%A5%C0%CC%C5%CD&swbizTgYn=&instNm=&dminstCd=&fromRcptDt=2024%2F02%2F13&toRcptDt=2024%2F02%2F16&listPageCount=&orderbyItem=1&instSearchRange=&myProdSearchYn=&searchDetailPrdnmNo=&searchDetailPrdnm=&pubYn=Y&taskClCds=5&recordCountPerPage=100,데이터
