업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시,입찰마감일시,공고링크,키워드
용역,20240213412-00,긴급,SNP chip 및 NGS 데이터를 이용한 친족관계 분석 프로그램 개발,대검찰청,대검찰청,제한(총액)협상에의한계약,2024/02/13 11:31,(2024/02/27 12:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240213412&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240212736-00,일반,초거대AI 생태계 조성을 위한 인공지능 학습용 데이터 구축 사업관리 전문지원 용역(멀티모달 분야),조달청 대구지방조달청,한국지능정보사회진흥원,수의(총액),2024/02/13 10:22,(2024/02/14 12:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240212736&bidseq=00&releaseYn=Y&taskClCd=1,데이터
용역,20240212748-00,일반,초거대AI 생태계 조성을 위한 인공지능 학습용 데이터 구축 사업관리 전문지원 용역(초거대AI 분야),조달청 대구지방조달청,한국지능정보사회진흥원,수의(총액),2024/02/13 10:21,(2024/02/14 12:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240212748&bidseq=00&releaseYn=Y&taskClCd=1,데이터
용역,20240210957-01,변경,디지털 트윈국토 표준의 데이터 적용 및 활용성 검증,국토교통부 국토지리정보원,국토교통부 국토지리정보원,수의(총액),2024/02/13 10:19,(2024/02/13 18:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240210957&bidseq=01&releaseYn=Y&taskClCd=5,데이터
