업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시,입찰마감일시,공고링크,키워드
용역,20240402736-00,일반,인공지능 개발 플랫폼 UI 고도화 및 비즈니스 모델 개발 용역,재단법인 대구테크노파크,재단법인 대구테크노파크,일반(총액)협상에의한계약,2024/04/02 09:09,(2024/04/15 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240402736&bidseq=00&releaseYn=Y&taskClCd=5,인공지능
용역,20240402289-00,긴급,2024년 서울로봇인공지능과학관 전시 운영 및 콘텐츠 기획·개발 용역,서울특별시,서울특별시 서울시립과학관,일반(총액)협상에의한계약,2024/04/01 18:09,(2024/04/12 16:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240402289&bidseq=00&releaseYn=Y&taskClCd=5,인공지능
용역,20240401853-01,취소,2024년 서울로봇인공지능과학관 전시 운영 및 콘텐츠 기획·개발 용역,서울특별시,서울특별시 서울시립과학관,일반(총액)협상에의한계약,2024/04/01 18:05,(2024/04/12 16:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240401853&bidseq=01&releaseYn=Y&taskClCd=5,인공지능
용역,20240402098-00,일반,인공지능 신약개발 공공 포털 플랫폼 컨설팅 및 만족도 조사 용역,대구경북첨단의료산업진흥재단,대구경북첨단의료산업진흥재단,제한(총액)협상에의한계약,2024/04/01 17:31,(2024/04/12 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240402098&bidseq=00&releaseYn=Y&taskClCd=5,인공지능
용역,20240401353-00,긴급,인공지능플랫폼 및 수질오염사고 분석체계 개발(Ⅱ),조달청 인천지방조달청,환경부 국립환경과학원,수의(총액),2024/04/01 16:47,(2024/04/04 11:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240401353&bidseq=00&releaseYn=Y&taskClCd=1,인공지능
용역,20240350079-00,일반,인공지능 신뢰성 요구사항 도출(금융분야) 연구 용역(재공고),한국정보통신기술협회,한국정보통신기술협회,일반(총액)협상에의한계약,2024/03/29 20:51,(2024/04/11 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240350079&bidseq=00&releaseYn=Y&taskClCd=5,인공지능
