업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시,입찰마감일시,공고링크,키워드
용역,20240338454-00,긴급,2024년 공공데이터 개방 및 품질관리 용역(협상),제주특별자치도,제주특별자치도,일반(총액)협상에의한계약,2024/03/22 15:07,(-),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240338454&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240337584-00,일반,2024년 중소기업 AI·빅데이터 분석 및 활용 지원사업 용역[긴급],고양산업진흥원,고양산업진흥원,일반(총액)협상에의한계약,2024/03/22 13:37,(2024/04/03 14:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240337584&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240333629-00,긴급,데이터 기반 산림행정업무시스템(e-푸른샘) 구축(1차),조달청,산림청,제한(총액)협상에의한계약,2024/03/22 13:32,(2024/04/23 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240333629&bidseq=00&releaseYn=Y&taskClCd=1,데이터
용역,20240337975-00,긴급,국가인재원 교육평가 데이터 분석 고도화 연구용역,인사혁신처 국가공무원인재개발원,인사혁신처 국가공무원인재개발원,제한(총액)협상에의한계약,2024/03/22 13:03,(2024/04/02 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240337975&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240302792-01,취소,2024 혁신성장 데이터 챌린지 사업 운영,재단법인부산테크노파크,재단법인부산테크노파크,일반(총액)협상에의한계약,2024/03/22 12:48,(2024/03/26 14:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240302792&bidseq=01&releaseYn=Y&taskClCd=5,데이터
용역,20240315985-01,취소,"2024년 데이터 오픈랩 DB 구축,품질 관리 및 서비스 발굴",재단법인부산테크노파크,재단법인부산테크노파크,제한(총액)협상에의한계약,2024/03/22 12:48,(2024/03/25 14:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240315985&bidseq=01&releaseYn=Y&taskClCd=5,데이터
용역,20240313206-01,취소,데이터 기반 해양 미세먼지 분석 연구,재단법인부산테크노파크,재단법인부산테크노파크,제한(총액)협상에의한계약,2024/03/22 12:46,(2024/03/22 14:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240313206&bidseq=01&releaseYn=Y&taskClCd=5,데이터
용역,20240318425-00,일반,2024년 용인시 데이터 기반행정 과제발굴 및 분석,조달청 인천지방조달청,경기도 용인시,제한(총액)협상에의한계약,2024/03/22 09:31,(2024/04/12 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240318425&bidseq=00&releaseYn=Y&taskClCd=1,데이터
용역,20240342301-00,일반,AI 알파벳 파닉스 프로그램 이용 용역,전북특별자치도교육청,전북특별자치도교육청,제한(총액)규격가격동시,2024/03/26 09:32,(2024/04/08 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240342301&bidseq=00&releaseYn=Y&taskClCd=5,AI
용역,20240341754-00,긴급,경기도 발달장애인 AI 영상분석 및 컨설팅 용역,경기도,경기도,제한(총액)협상에의한계약,2024/03/25 18:03,(2024/04/05 17:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240341754&bidseq=00&releaseYn=Y&taskClCd=5,AI
용역,20240340746-00,긴급,2024년 스마트농업 AI 경진대회 기반조성 및 운영,조달청,한국농업기술진흥원,일반(총액)협상에의한계약,2024/03/25 17:49,(2024/04/16 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240340746&bidseq=00&releaseYn=Y&taskClCd=1,AI
용역,20240340644-00,긴급,한국형 재난 대응인력 소진관리프로그램(Stress First Aid) 개발 연구,보건복지부 국립정신건강센터,보건복지부 국립정신건강센터,제한(총액)협상에의한계약,2024/03/25 14:05,(2024/04/05 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240340644&bidseq=00&releaseYn=Y&taskClCd=5,AI
용역,20240340122-00,일반,AI복합교육 프로젝트 발표회 영상촬영·편집 및 최종성과물 제작 용역,고려대학교 세종산학협력단,고려대학교 세종산학협력단,일반(총액),2024/03/25 10:58,(2024/04/08 17:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240340122&bidseq=00&releaseYn=Y&taskClCd=5,AI
용역,20240339773-00,긴급,생성형AI 관련 프라이버시 리스크 경감기술 평가연구,개인정보보호위원회,개인정보보호위원회,제한(총액)협상에의한계약,2024/03/25 09:57,(2024/04/03 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240339773&bidseq=00&releaseYn=Y&taskClCd=5,AI
용역,20240339722-00,일반,사이버 위협 지식관리 및 AI모델 연동 플랫폼 개발 용역,국가보안기술연구소,국가보안기술연구소,제한(총액)협상에의한계약,2024/03/25 09:22,(2024/04/05 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240339722&bidseq=00&releaseYn=Y&taskClCd=5,AI
용역,2024LDF000611131-01,일반,24년 AI 전문교육장 교육훈련장비 유지보수,육군통신학교,육군정보통신학교,수의(총액),2024/03/25 09:00,(2024/03/29 10:00),https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20240346491&bidseq=01,AI
용역,20240338985-00,긴급,"[연구,124] 인공지능 일일모기발생감시장비(AI-DMS) 시범운영 평가",질병관리청,질병관리청,제한(총액)협상에의한계약,2024/03/25 08:51,(2024/04/05 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240338985&bidseq=00&releaseYn=Y&taskClCd=5,AI
용역,20240339304-00,긴급,「경기도 탄소중립 달성을 위한 생성형 인공지능(AI) 효율적 적용 및 활용방안 연구」,재단법인경기환경에너지진흥원,재단법인경기환경에너지진흥원,제한(총액)협상에의한계약,2024/03/23 10:37,(2024/04/03 16:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240339304&bidseq=00&releaseYn=Y&taskClCd=5,AI
용역,20240339228-00,일반,인공지능 AI 을 활용한 건설 산업재해 통계분류 분석 시스템 개발,한국산업안전보건공단 산업안전보건연구원,한국산업안전보건공단 산업안전보건연구원,제한(총액)협상에의한계약,2024/03/22 20:07,(2024/04/02 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240339228&bidseq=00&releaseYn=Y&taskClCd=5,AI
용역,20240338533-00,긴급,낙동강권역 AI 홍수예보 추진 및 홍수특보지점 확대를 위한 기반 구축,조달청 부산지방조달청,환경부 낙동강홍수통제소,일반(총액)협상에의한계약,2024/03/22 17:05,(2024/04/05 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240338533&bidseq=00&releaseYn=Y&taskClCd=1,AI
용역,20240337893-00,긴급,경상북도 국제 AI메타버스 영화제 오프라인 행사(개폐막식 등)운영,경북문화재단 콘텐츠진흥원,경북문화재단 콘텐츠진흥원,제한(총액)협상에의한계약,2024/03/22 11:37,(2024/04/02 14:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240337893&bidseq=00&releaseYn=Y&taskClCd=5,AI
용역,20240318427-00,일반,2024년 AI 보안 산업 진흥 프로그램 운영 용역,조달청 광주지방조달청,한국인터넷진흥원,제한(총액)협상에의한계약,2024/03/22 11:15,(2024/04/16 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240318427&bidseq=00&releaseYn=Y&taskClCd=1,AI
용역,20240335084-00,긴급,제2차 인공지능의 책임있는 군사적 이용에 관한 고위급회의 운영대행 용역,조달청 서울지방조달청,외교부,일반(총액)협상에의한계약,2024/03/25 17:40,(2024/04/05 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240335084&bidseq=00&releaseYn=Y&taskClCd=1,인공지능
용역,20240338132-00,일반,"인공지능 포렌식 영상분석, 저장, 검색 소프트웨어 1.0.1 커스터마이징_제3자단가계약(위트콘)",조달청,각 수요기관,수의(단가)제3자단가계약,2024/03/25 10:07,(2024/03/26 12:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240338132&bidseq=00&releaseYn=Y&taskClCd=1,인공지능
용역,20240339617-00,일반,발달장애 진단보조 인공지능 플랫폼 제조품목 허가 컨설팅,가톨릭대학교 산학협력단,가톨릭대학교 산학협력단,제한(총액)협상에의한계약,2024/03/25 08:09,(-),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240339617&bidseq=00&releaseYn=Y&taskClCd=5,인공지능
용역,20240338648-00,긴급,생성 인공지능 워터마크 기술 활성화 방안 연구 용역,한국정보통신기술협회,한국정보통신기술협회,일반(총액)협상에의한계약,2024/03/22 15:58,(2024/04/03 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240338648&bidseq=00&releaseYn=Y&taskClCd=5,인공지능
용역,20240337512-00,긴급,2024년 서울로봇인공지능과학관 신규 전시콘텐츠 설계 및 제작·설치 용역,서울특별시,서울특별시 서울시립과학관,제한(총액)협상에의한계약,2024/03/22 09:55,(2024/04/02 16:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240337512&bidseq=00&releaseYn=Y&taskClCd=5,인공지능
