업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시,입찰마감일시,공고링크,키워드
용역,P2024-00030-00,일반,KOICA 공공데이터 개방·품질 개선 및 데이터기반행정 활성화 컨설팅 용역,한국국제협력단,한국국제협력단,2024/03/26 10:00,(2024/04/08 15:00),용역,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20240348053&bidseq=00,데이터
20240339995-00,일반,디지털정읍문화대전 XML 데이터 제작,한국학중앙연구원,한국학중앙연구원,제한(총액)협상에의한계약,2024/03/26 08:17,(2024/04/09 10:00),용역,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240339995&bidseq=00&releaseYn=Y&taskClCd=5,데이터
E082400101-00,일반,2024년도 공공데이터 및 데이터기반행정 관리 컨설팅 용역(협상에 의한 계약),한국동서발전주식회사,계약자재부,제한(총액),2024/03/25 18:47,(2024/04/05 13:00),용역,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20240347446&bidseq=00,데이터
20240341773-00,긴급,(협상)3차원 디지털트윈 데이터 셋 구축사업,경기도 용인시,경기도 용인시,일반(총액)협상에의한계약,2024/03/25 18:43,(2024/04/08 17:00),용역,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240341773&bidseq=00&releaseYn=Y&taskClCd=5,데이터
20240340944-00,긴급,2024년도 한국사데이터베이스 구축,조달청 서울지방조달청,교육부 국사편찬위원회,수의(총액),2024/03/25 18:21,(2024/04/01 15:00),용역,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240340944&bidseq=00&releaseYn=Y&taskClCd=1,데이터
P2024233-01,일반,2024년 INOS 2.0 GIS 및 데이터연계 SW 유지보수,한전KDN(주),한전KDN(주),수의(총액),2024/03/25 18:19,(2024/03/26 13:30),용역,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20240347687&bidseq=01,데이터
20240340038-00,일반,주요 제조업 중소중견기업 대상 공공데이터 수요 심층조사,산업통상자원부,산업통상자원부,일반(총액)협상에의한계약,2024/03/25 17:31,(-),용역,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240340038&bidseq=00&releaseYn=Y&taskClCd=5,데이터
20240327857-00,긴급,마이데이터 지원 플랫폼 구축(1차),조달청 서울지방조달청,개인정보보호위원회,일반(총액)협상에의한계약,2024/03/25 15:23,(2024/04/19 10:00),용역,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240327857&bidseq=00&releaseYn=Y&taskClCd=1,데이터
20240340668-00,긴급,2024년 데이터자격검정 실기시험 운영 위탁 용역,조달청 서울지방조달청,한국데이터산업진흥원,일반(총액)협상에의한계약,2024/03/25 15:02,(2024/04/09 10:00),용역,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240340668&bidseq=00&releaseYn=Y&taskClCd=1,데이터
20240340360-00,일반,빅데이터 활용을 통한 대기배출원 관리 기법 개발(IV),조달청 인천지방조달청,환경부 국립환경과학원,수의(총액),2024/03/25 14:16,(2024/03/27 17:00),용역,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240340360&bidseq=00&releaseYn=Y&taskClCd=1,데이터
20240339850-00,일반,"2024년 데이터 오픈랩 DB 구축,품질 관리 및 서비스 발굴",재단법인부산테크노파크,재단법인부산테크노파크,제한(총액)협상에의한계약,2024/03/25 09:52,(2024/04/05 14:00),용역,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240339850&bidseq=00&releaseYn=Y&taskClCd=5,데이터
20240339805-00,긴급,2024 혁신성장 데이터 챌린지 사업 운영,재단법인부산테크노파크,재단법인부산테크노파크,일반(총액)협상에의한계약,2024/03/25 09:48,(2024/04/05 14:00),용역,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240339805&bidseq=00&releaseYn=Y&taskClCd=5,데이터
20240339797-00,긴급,빅데이터분석기사 직무분석 및 출제기준 개정 연구 용역,한국데이터산업진흥원,한국데이터산업진흥원,제한(총액)협상에의한계약,2024/03/25 09:38,(2024/04/05 10:00),용역,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240339797&bidseq=00&releaseYn=Y&taskClCd=5,데이터
20240338995-00,일반,"[연구,125] STFS 매개 참진드기 2종의 DNA바코드 데이터 축적 및 권역별 지리적 변이분석",질병관리청,질병관리청,제한(총액)협상에의한계약,2024/03/25 08:51,(2024/05/07 10:00),용역,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240338995&bidseq=00&releaseYn=Y&taskClCd=5,데이터
20240339614-01,변경,중장기 생태계 데이터 베이스 구축 및 분석,해양수산부 국립수산과학원,해양수산부 국립수산과학원,수의(총액),2024/03/25 08:07,(2024/03/25 12:00),마감,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240339614&bidseq=01&releaseYn=Y&taskClCd=5,데이터
용역,20240339227-00,일반,두산 외 3 저수지 및 주변 지형 3차원 데이터 구축 용역,경상남도 함양군,경상남도 함양군,수의(총액)소액-견적입찰(2인 이상 견적 제출),2024/03/22 20:07,(2024/03/28 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240339227&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240339129-00,일반,고위험 사업장 선정에 활용한 데이터 분석을 통한 감독점검 대상 선정방법 연구,한국산업안전보건공단 산업안전보건연구원,한국산업안전보건공단 산업안전보건연구원,제한(총액)협상에의한계약,2024/03/22 18:29,(2024/04/02 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240339129&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240338874-00,긴급,국가공간정보 데이터 수집·관리 및 제공 체계 개선 연구,국토교통부,국토교통부,일반(총액)협상에의한계약,2024/03/22 16:55,(2024/04/02 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240338874&bidseq=00&releaseYn=Y&taskClCd=5,데이터
용역,20240338074-00,긴급,2024년 빅데이터 통계작성 통합 시스템 개선 사업,조달청,통계청,제한(총액)협상에의한계약,2024/03/22 15:28,(2024/04/12 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240338074&bidseq=00&releaseYn=Y&taskClCd=1,데이터
