업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시,입찰마감일시,공고링크,키워드
용역,20240130023-01,취소,"2024년도 서울시 서울AI허브 시설,미화 및 경비 용역",서울대학교 연구소 AI연구원,서울대학교 연구소 AI연구원,일반(총액),2024/02/19 16:53,(2024/02/19 17:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240130023&bidseq=01&releaseYn=Y&taskClCd=5,AI
용역,20240223320-00,일반,2024년 부산기계공고 AI특화교육 해외 연수(싱가포르) 항공권 구매 용역 소액수의(견적) 공고,중소벤처기업부 부산기계공업고등학교,중소벤처기업부 부산기계공업고등학교,수의(총액)소액-견적입찰(2인 이상 견적 제출),2024/02/19 10:50,(2024/02/23 14:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240223320&bidseq=00&releaseYn=Y&taskClCd=5,AI
용역,20240222123-00,긴급,인공지능(AI) 기반 현수막 탐지 기술 개발 학습데이터 구축 및 지자체 실증연구,한국지방재정공제회,한국지방재정공제회,제한(총액)협상에의한계약,2024/02/19 08:52,(2024/03/06 11:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240222123&bidseq=00&releaseYn=Y&taskClCd=5,AI
용역,20240222209-00,일반,2024년도 순창 늘봄학교 AI코스웨어 지원 위탁 용역,전북특별자치도교육청 전북특별자치도순창교육지원청,전북특별자치도교육청 전북특별자치도순창교육지원청,제한(총액)규격가격동시,2024/02/16 17:17,(2024/02/26 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240222209&bidseq=00&releaseYn=Y&taskClCd=5,AI
용역,20240222125-00,일반,AI기반 습지경계 자동분류 학습데이터 구축,환경부,환경부,일반(총액)협상에의한계약,2024/02/16 16:39,(2024/02/28 12:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240222125&bidseq=00&releaseYn=Y&taskClCd=5,AI
용역,20240220554-00,긴급,[긴급] 2024. 전주 늘봄학교 AI코스웨어 지원 위탁 운영 용역,전북특별자치도교육청 전북특별자치도전주교육지원청,전북특별자치도교육청 전북특별자치도전주교육지원청,일반(총액)규격가격동시,2024/02/16 16:37,(2024/02/27 10:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240220554&bidseq=00&releaseYn=Y&taskClCd=5,AI
용역,20240221354-00,일반,"위성영상과 AI를 활용한 벼 생육 시계열 예,관측 체계 구축",조달청 전북지방조달청,농촌진흥청 국립농업과학원,제한(총액)협상에의한계약,2024/02/16 14:02,(2024/03/06 11:00),https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20240221354&bidseq=00&releaseYn=Y&taskClCd=1,AI
